Category,Stage,Name,Gold,Stone,Food,Book,VP,Note
B,I,Hunnic Invasions,,,-4,,,
B,I,Pelopponesian War,,,,-4,,
B,I,Warring States,,,,-3,,
B,I,Wars of Alexander,,,-2,,,
A,I,Parthian Wars,-3,,,,,
A,I,Three Kingdoms,-5,,,,,
E,I,Hyksos Invasion,,-4,,,,
E,I,Punic Wars,,,-6,,,
B,II,Byzantine-Arab War,,,,-3,,
B,II,First Crusade,,,,-6,,
B,II,Hundred Years War,,,-5,,,
B,II,Reconquista,-4,,,,,
A,II,Viking Raids,-4,,,,,
A,II,War of the Roses,-7,,,,,
E,II,Mongol Invasions,,,-10,,,
E,II,Vandalic War,,,-6,,,
B,III,Great Northern War,,,-8,,,
B,III,Imjin War,,-5,,,,
B,III,Mughal Invasion,,,,-7,,
B,III,War of Jenkins' Ear,-6,,,,,
A,III,Cortes Expedition,,,-6,,,
A,III,Dutch Liberation War,-9,,,,,
E,III,Thirty Years War,,,-9,,,
E,III,War of Cyprus,,-7,,,,
B,II II,Balkan Wars,,,,-7,,
B,II II,Franco-Prussian War,,-9,,,,
B,II II,Opium War,-8,,,,,
B,II II,Second Boer War,,,-8,,,
A,II II,Anglo-Afghan War,,-7,,,,
A,II II,Napoleonic War,,,-11,,,
E,II II,American Civil War,,,,-12,,
E,II II,Crimean War,-10,,,,,
